Title,Link,Words,Decision
Show HN: Memories – FOSS Google Photos alternative built for high performance,https://memories.gallery/,"show,hn,memori,foss,googl,photo,altern,built,high,perform,memories.gallery",undecided
Show HN: Ragas – Open-source library for evaluating RAG pipelines,https://github.com/explodinggradients/ragas,"show,hn,raga,open-sourc,librari,evalu,rag,pipelin,github.com",undecided
"Show HN: Dropflow, a CSS layout engine for node or <canvas>",https://github.com/chearon/dropflow,"show,hn,dropflow,css,layout,engin,node,canva,github.com",undecided
Users say Glassdoor added real names to user profiles without their consent,https://techcrunch.com/2024/03/20/glassdoor-added-real-names-profiles-without-consent/,"user,sai,glassdoor,ad,real,name,user,profil,without,consent,techcrunch.com",undecided
Launch HN: Soundry AI (YC W24) – Music sample generator for music creators,https://soundry.ai/,"launch,hn,soundri,ai,yc,w24,music,sampl,gener,music,creator,soundry.ai",undecided
"Tunnelmole, an ngrok alternative (open source)",https://softwareengineeringstandard.com/2024/03/19/ngrok-alternative-open-source/,"tunnelmol,ngrok,altern,open,sourc,softwareengineeringstandard.com",undecided
Hacker News Rankings. Graphs of HN posts rank on timeline,https://hnrankings.info,"hacker,new,rank,graph,hn,post,rank,timelin,hnrankings.info",undecided
Amazon Chronos: Learning the Language of Time Series,https://arxiv.org/abs/2403.07815,"amazon,chrono,learn,languag,time,seri,arxiv.org",undecided
Silent Running: 1970s Environmental Fable Remains Depressingly All Too Relevant,https://reactormag.com/silent-running-a-1970s-environmental-fable-remains-depressingly-all-too-relevant/,"silent,run,environment,fabl,remain,depressingli,relev,reactormag.com",undecided
Vernor Vinge has died,https://file770.com/vernor-vinge-1944-2024/,"vernor,ving,di,file770.com",undecided
Introduction to Algorithmic Art,http://xahlee.info/math/algorithmic_math_art.html,"introduct,algorithm,art,xahlee.info",undecided
Picotron Is a Fantasy Workstation,https://www.lexaloffle.com/picotron.php,"picotron,fantasi,workstat,www.lexaloffle.com",undecided
How Chain-of-Thought Reasoning Helps Neural Networks Compute,https://www.quantamagazine.org/how-chain-of-thought-reasoning-helps-neural-networks-compute-20240321/,"chain-of-thought,reason,help,neural,network,comput,www.quantamagazine.org",undecided
"Gitlab confirms it's removed Suyu, a fork of Nintendo Switch emulator Yuzu",https://www.theverge.com/2024/3/21/24108191/gitlab-suyu-nintendo-switch-emulator-takedown,"gitlab,confirm,it',remov,suyu,fork,nintendo,switch,emul,yuzu,www.theverge.com",undecided
On limitations that hide in your blindspot,https://www.henrikkarlsson.xyz/p/limitatons,"limit,hide,blindspot,www.henrikkarlsson.xyz",undecided
Atari Falcon030,https://www.goto10retro.com/p/atari-falcon030,"atari,falcon030,www.goto10retro.com",undecided
Implementing Vertical Form Controls,https://webkit.org/blog/15190/implementing-vertical-form-controls/,"implement,vertic,form,control,webkit.org",undecided
"U.S. sues Apple, accusing it of maintaining an iPhone monopoly",https://www.nytimes.com/2024/03/21/technology/apple-doj-lawsuit-antitrust.html,"sue,appl,accus,maintain,iphon,monopoli,www.nytimes.com",undecided
"Difftastic, a structural diff tool that understands syntax",https://difftastic.wilfred.me.uk/,"difftast,structur,diff,tool,understand,syntax,difftastic.wilfred.me.uk",undecided
The Origins of the Generic Mapping Tools,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2023CN000231,"origin,gener,map,tool,agupubs.onlinelibrary.wiley.com",undecided
Apollo Data Uncovers Lunar Seismic Events,https://essopenarchive.org/users/527743/articles/673415-new-views-of-lunar-seismicity-brought-by-analysis-of-newly-discovered-moonquakes-in-apollo-short-period-seismic-data,"apollo,data,uncov,lunar,seismic,event,essopenarchive.org",undecided
Array Languages: R vs. APL (2023),https://jcarroll.com.au/2023/07/07/array-languages-r-vs-apl/,"arrai,languag,vs,apl,jcarroll.com.au",undecided
Navigating the World of Large Language Models,https://www.bentoml.com/blog/navigating-the-world-of-large-language-models,"navig,world,larg,languag,model,www.bentoml.com",undecided
DuckDB as the New jq,https://www.pgrs.net/2024/03/21/duckdb-as-the-new-jq/,"duckdb,new,jq,www.pgrs.net",undecided
"Greece, Argentina and India are the fastest improving business environments",https://www.eiu.com/n/greece-argentina-and-india-are-the-fastest-improving-business-environments/,"greec,argentina,india,fastest,improv,busi,environ,www.eiu.com",undecided
The baffling intelligence of a single cell: The story of E. coli chemotaxis,https://jsomers.net/e-coli-chemotaxis/,"baffl,intellig,singl,cell,stori,coli,chemotaxi,jsomers.net",undecided
Disk write buffering and its interactions with write flushes,https://utcc.utoronto.ca/~cks/space/blog/tech/WriteBufferingAndSyncs,"disk,write,buffer,interact,write,flush,utcc.utoronto.ca",undecided
Improving OKRs – By Daniel Walters,https://wioota.substack.com/p/improving-okrs,"improv,okr,daniel,walter,wioota.substack.com",undecided
